'2018-07-24',WTI,70.77,'2018-07-24'
'2018-07-25',WTI,71.13,'2018-07-25'
'2018-07-26',WTI,71.59,'2018-07-26'
'2018-07-27',WTI,68.66,'2018-07-27'
'2018-07-30',WTI,71.19,'2018-07-30'
'2018-07-31',WTI,69.88,'2018-07-31'
'2018-08-01',WTI,68.8,'2018-08-01'
'2018-08-02',WTI,68.95,'2018-08-02'
'2018-08-03',WTI,68.49,'2018-08-03'
'2018-08-06',WTI,69.01,'2018-08-06'
'2018-08-07',WTI,69.17,'2018-08-07'
'2018-08-08',WTI,66.92,'2018-08-08'
'2018-08-09',WTI,66.81,'2018-08-09'
'2018-08-10',WTI,67.61,'2018-08-10'
'2018-08-13',WTI,67.25,'2018-08-13'
'2018-08-14',WTI,67.04,'2018-08-14'
'2018-08-15',WTI,65.07,'2018-08-15'
'2018-08-16',WTI,65.44,'2018-08-16'
'2018-08-17',WTI,65.93,'2018-08-17'
'2018-08-20',WTI,66.5,'2018-08-20'
'2018-07-24',BRENT,73.53,'2018-07-24'
'2018-07-25',BRENT,73.67,'2018-07-25'
'2018-07-26',BRENT,74.51,'2018-07-26'
'2018-07-27',BRENT,74.84,'2018-07-27'
'2018-07-30',BRENT,74.99,'2018-07-30'
'2018-07-31',BRENT,74.16,'2018-07-31'
'2018-08-01',BRENT,72.28,'2018-08-01'
'2018-08-02',BRENT,72.95,'2018-08-02'
'2018-08-03',BRENT,72.48,'2018-08-03'
'2018-08-06',BRENT,72.51,'2018-08-06'
'2018-08-07',BRENT,72.31,'2018-08-07'
'2018-08-08',BRENT,70.71,'2018-08-08'
'2018-08-09',BRENT,70.55,'2018-08-09'
'2018-08-10',BRENT,71,'2018-08-10'
'2018-08-13',BRENT,70.62,'2018-08-13'
'2018-08-14',BRENT,70.77,'2018-08-14'
'2018-08-15',BRENT,68.38,'2018-08-15'
'2018-08-16',BRENT,69.21,'2018-08-16'
'2018-08-17',BRENT,70.14,'2018-08-17'
'2018-08-20',BRENT,71.11,'2018-08-20'
