SBIN.NS,"['432', '477', '456', '492', '538', '526', '513', '578', '564', '623', '592', '606']"
ATUL.NS,"['7883', '8376', '9192', '9450', '9804', '8675', '8928', '8095', '7605', '6874', '7168']"
GLENMARK.NS,"['408', '380', '346', '358', '437', '420', '451', '394', '507']"
GODREJPROP.NS,"['1310', '1390', '1229', '1130', '1471', '1530', '1061', '1005']"
YESBANK.NS,"['12', '14', '15', '18', '16', '17', '25', '19']"
DLF.NS,"['311', '337', '300', '348', '391', '360', '406', '373', '418']"
IEX.NS,"['193', '176', '171', '152', '160', '139', '147', '129']"
TWL.NS,"['98', '113', '136', '124', '154', '177', '163', '211', '188', '238', '221', '260', '278', '344']"
ARVINDFASN.NS,"['218', '259', '232', '298', '281', '333', '389', '373', '352', '319']"
ICICIBANK.NS,"['700', '671', '752', '725', '804', '888', '843', '937', '958', '916', '865']"
ZOMATO.NS,"['50', '68', '64', '72', '41', '57', '75', '53']"
CDSL.NS,"['1044', '1004', '1283', '1139', '1186', '1452', '1240', '1076', '930', '881']"
ZEEL.NS,"['227', '241', '257', '217', '208', '266', '279', '287', '186']"
BRITANNIA.NS,"['3033', '3521', '3141', '3362', '3252', '3758', '3622', '4166', '4006', '4333', '4590', '4246']"
HINDUNILVR.NS,"['2058', '2331', '2204', '2636', '2508', '2568', '2697', '2393']"
ITC.NS,"['272', '255', '289', '312', '300', '334', '324', '344', '364', '374']"
VBL.NS,"['760', '696', '802', '852', '1044', '907', '1193', '964', '1129', '1376', '1290', '1473']"
DABUR.NS,"['490', '508', '522', '478', '547', '534', '575', '588', '563']"
JYOTHYLAB.NS,"['137', '158', '144', '169', '176', '188', '205', '195', '217']"
HAL.NS,"['1593', '1440', '1815', '1674', '1892', '2306', '2600', '2384', '2463', '2683', '2846']"
BEL.NS,"['82', '78', '85', '97', '93', '107', '103', '100', '90']"
NTPC.NS,"['135', '148', '142', '129', '154', '159', '172', '165', '180']"
M&M.NS,"['845', '913', '951', '1047', '1008', '1183', '1125', '1280', '1338', '1218', '1248', '1387']"
EXIDEIND.NS,"['150', '145', '135', '130', '162', '176', '169', '188', '180', '193']"
AMARAJABAT.NS,"['491', '471', '508', '436', '456', '544', '531', '645', '626', '662', '583', '562']"
HCLTECH.NS,"['1035', '919', '1005', '954', '837', '879', '1124', '1086']"
TATAELXSI.NS,"['7900', '6399', '7123', '8330', '7636', '10760', '8675', '9059', '6840', '6089', '5883']"
TCS.NS,"['3385', '2948', '2887', '3125', '3260', '3033', '3197', '3458', '3575']"
TECHM.NS,"['1258', '1066', '1116', '1012', '914', '958', '1038', '1145', '985']"
MPHASIS.NS,"['2310', '2586', '2436', '2509', '2025', '2095', '1928', '2177', '1661', '1827', '1725']"
PERSISTENT.NS,"['3507', '3888', '3250', '3073', '3724', '4398', '4199', '4066', '4651', '5135']"
KPITTECH.NS,"['469', '438', '531', '591', '673', '641', '763', '732', '876', '808', '947', '841']"
INFY.NS,"['1447', '1517', '1370', '1608', '1398', '1575', '1673', '1482', '1215']"
HAPPSTMNDS.NS,"['851', '963', '819', '896', '782', '1026', '926', '1134', '1077']"
WIPRO.NS,"['494', '468', '480', '401', '430', '390', '416', '375', '355']"
VEDL.NS,"['218', '229', '168', '184', '207', '270', '252', '240', '288', '280', '304']"
TATASTEEL.NS,"['49', '44', '98', '83', '89', '93', '110', '106', '114', '103', '120', '124', '117']"
HINDALCO.NS,"['381', '308', '347', '365', '429', '446', '414', '461', '484', '398']"
SHARDACROP.NS,"['557', '650', '757', '683', '487', '532', '415', '366', '464', '440']"
COROMANDEL.NS,"['957', '877', '1038', '1068', '1005', '842', '905']"
UPL.NS,"['758', '723', '599', '657', '685', '780', '804', '705']"
DHANUKA.NS,"['712', '689', '739', '661', '631', '605']"
PIIND.NS,"['2359', '2514', '2810', '2619', '3143', '2984', '3466', '3256', '3693']"
