,tradingsymbol,exchange,instrument_token,product,quantity,overnight_quantity,multiplier,average_price,close_price,last_price,value,pnl,m2m,unrealised,realised,buy_quantity,buy_price,buy_value,buy_m2m,sell_quantity,sell_price,sell_value,sell_m2m,day_buy_quantity,day_buy_price,day_buy_value,day_sell_quantity,day_sell_price,day_sell_value
0,BANKNIFTY23AUG43000CE,NFO,15476482,NRML,-45,-45,1,3281.233333,3001.6,2651.5,147655.499985,28337.999985000002,15754.5,28337.999985000002,0,0,0.0,0.0,0.0,45,3281.233333,147655.499985,135072.0,0,0,0,0,0,0
1,BANKNIFTY23AUG43500CE,NFO,15479042,NRML,-30,-30,1,2806.55,2528.7,2195.9,84196.5,18319.5,9984.0,18319.5,0,0,0.0,0.0,0.0,30,2806.55,84196.5,75861.0,0,0,0,0,0,0
2,BANKNIFTY23AUG44000CE,NFO,15481602,NRML,-30,-30,1,2310.0,2096.05,1757.25,69300.0,16582.5,10164.000000000007,16582.5,0,0,0.0,0.0,0.0,30,2310.0,69300.0,62881.50000000001,0,0,0,0,0,0
3,BANKNIFTY23AUGFUT,NFO,8963586,NRML,270,270,1,46080.316667,45986.45,45592.3,-12441685.50009,-131764.5000899993,-106420.5,-131764.5000899993,0,270,46080.316667,12441685.50009,12416341.5,0,0.0,0.0,0.0,0,0,0,0,0,0
4,BANKNIFTY23SEP44500PE,NFO,15154434,NRML,-30,-30,1,719.9,358.1,436.4,21597.0,8505.0,-2349.0,8505.0,0,0,0.0,0.0,0.0,30,719.9,21597.0,10743.0,0,0,0,0,0,0
5,BANKNIFTY23SEP45000PE,NFO,22016002,NRML,-45,-45,1,1001.666667,479.75,582.9,45075.000015,18844.500014999998,-4641.75,18844.500014999998,0,0,0.0,0.0,0.0,45,1001.666667,45075.000015,21588.75,0,0,0,0,0,0
6,BANKNIFTY23SEP45500PE,NFO,15163650,NRML,-30,-30,1,980.125,648.8,771.25,29403.75,6266.25,-3673.5,6266.25,0,0,0.0,0.0,0.0,30,980.125,29403.75,19464.0,0,0,0,0,0,0
7,NIFTY23AUG18700CE,NFO,15746818,NRML,-50,-50,1,1123.3,1122.35,1022.0,56165.0,5065.0,5017.499999999993,5065.0,0,0,0.0,0.0,0.0,50,1123.3,56165.0,56117.49999999999,0,0,0,0,0,0
8,NIFTY23AUGFUT,NFO,8963842,NRML,350,350,1,19905.057143,19811.4,19720.4,-6966770.000050001,-64630.000049999915,-31850.0,-64630.000049999915,0,350,19905.057143,6966770.000050001,6933990.000000001,0,0.0,0.0,0.0,0,0,0,0,0,0
9,NIFTY23DEC18000PE,NFO,14109186,NRML,-100,-100,1,164.4,112.4,109.95,16440.0,5445.0,245.0,5445.0,0,0,0.0,0.0,0.0,100,164.4,16440.0,11240.0,0,0,0,0,0,0
10,NIFTY23DEC18500CE,NFO,10497538,NRML,-450,-450,1,930.444444,1837.55,1763.65,418699.9998,-374942.5002,33255.0,-374942.5002,0,0,0.0,0.0,0.0,450,930.444444,418699.9998,826897.5,0,0,0,0,0,0
11,NIFTY23DEC19000CE,NFO,10232066,NRML,-150,-150,1,1022.166667,1457.85,1410.0,153325.00005,-58174.99995,7177.5,-58174.99995,0,0,0.0,0.0,0.0,150,1022.166667,153325.00005,218677.5,0,0,0,0,0,0
12,NIFTY23DEC19000PE,NFO,10232322,NRML,-700,-700,1,357.810714,246.5,256.95,250467.49980000002,70602.49980000002,-7315.0,70602.49980000002,0,0,0.0,0.0,0.0,700,357.810714,250467.49980000002,172550.0,0,0,0,0,0,0
13,NIFTY23DEC20000CE,NFO,9664514,NRML,-100,-100,1,640.875,779.75,729.3,64087.5,-8842.5,5045.0,-8842.5,0,0,0.0,0.0,0.0,100,640.875,64087.5,77975.0,0,0,0,0,0,0
14,NIFTY23SEP19700PE,NFO,21983234,NRML,-50,-50,1,245.0,276.45,297.65,12250.0,-2632.499999999998,-1059.9999999999982,-2632.499999999998,0,0,0.0,0.0,0.0,50,245.0,12250.0,13822.5,0,0,0,0,0,0
